Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.26, 85.3,28.984104
2,S2,0.04,114.0,30.000000
3,N2,0.06, 87.0,28.439730
4,K1,0.04,244.4,15.041069
5,M4,0.01,117.5,57.968208
6,O1,0.04,263.6,13.943035
7,M6,0.01,359.3,86.952316
8,MK3,0.00,121.9,44.025173
9,S4,0.00,154.0,60.000000
10,MN4,0.01,119.3,57.423832
11,NU2,0.00, 56.1,28.512583
12,S6,0.00,290.2,90.000000
13,MU2,0.01,237.3,27.968208
14,2N2,0.00,145.0,27.895355
15,OO1,0.00,150.2,16.139101
16,LAM,0.00,113.7,29.455626
17,S1,0.00,350.8,15.000000
18,M1,0.00,169.3,14.496694
19,J1,0.00, 47.5,15.585443
20,MM,0.04,  2.9, 0.544375
21,SSA,0.00, 16.0, 0.082137
22,SA,0.00,128.2, 0.041069
23,MSF,0.02, 51.6, 1.015896
24,MF,0.00, 45.7, 1.098033
25,RHO,0.00,167.3,13.471515
26,Q1,0.00,226.7,13.398661
27,T2,0.00,342.6,29.958933
28,R2,0.00,145.0,30.041067
29,2Q1,0.00,325.6,12.854286
30,P1,0.01,261.6,14.958931
31,2SM2,0.00,314.7, 31.01590
32,M3,0.00, 19.7,43.476158
33,L2,0.02, 98.6,29.528479
34,2MK3,0.00,126.6, 42.92714
35,K2,0.02,137.9,30.082138
36,M8,0.00, 36.7,115.93642
37,MS4,0.00,160.6,58.984104
