Constituent#,Name,Amplitude,Phase,Speed
1,M2,1.01, 39.9,28.984104
2,S2,0.18, 67.4,30.000000
3,N2,0.27, 51.0,28.439730
4,K1,0.16,194.8,15.041069
5,M4,0.05,358.4,57.968208
6,O1,0.12,220.8,13.943035
7,M6,0.03,340.4,86.952316
8,MK3,0.01, 61.6,44.025173
9,S4,0.00, 51.6,60.000000
10,MN4,0.03, 37.1,57.423832
11,NU2,0.00,277.2,28.512583
12,S6,0.00,257.4,90.000000
13,MU2,0.01,130.0,27.968208
14,2N2,0.00, 22.7,27.895355
15,OO1,0.00, 53.0,16.139101
16,LAM,0.01, 18.6,29.455626
17,S1,0.00,204.6,15.000000
18,M1,0.00, 30.3,14.496694
19,J1,0.01,320.9,15.585443
20,MM,0.01,334.3, 0.544375
21,SSA,0.00, 19.0, 0.082137
22,SA,0.00,100.6, 0.041069
23,MSF,0.02, 24.1, 1.015896
24,MF,0.01,277.3, 1.098033
25,RHO,0.00,  4.4,13.471515
26,Q1,0.02,194.7,13.398661
27,T2,0.00,224.8,29.958933
28,R2,0.00, 22.7,30.041067
29,2Q1,0.00,249.7,12.854286
30,P1,0.06,219.1,14.958931
31,2SM2,0.00,215.5, 31.01590
32,M3,0.01,328.5,43.476158
33,L2,0.03,348.7,29.528479
34,2MK3,0.01, 74.8, 42.92714
35,K2,0.09,109.6,30.082138
36,M8,0.01,298.5,115.93642
37,MS4,0.01,167.1,58.984104
