Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.05,233.9,28.984104
2,S2,0.01,264.8,30.000000
3,N2,0.01,224.5,28.439730
4,K1,0.01,352.2,15.041069
5,M4,0.00,316.4,57.968208
6,O1,0.01,359.4,13.943035
7,M6,0.00, 53.6,86.952316
8,MK3,0.00,340.4,44.025173
9,S4,0.00,260.8,60.000000
10,MN4,0.00,309.2,57.423832
11,NU2,0.00,209.0,28.512583
12,S6,0.00,132.3,90.000000
13,MU2,0.00, 24.1,27.968208
14,2N2,0.00,314.1,27.895355
15,OO1,0.00,260.2,16.139101
16,LAM,0.00,263.2,29.455626
17,S1,0.00, 92.2,15.000000
18,M1,0.00,273.8,14.496694
19,J1,0.00,160.4,15.585443
20,MM,0.04, 13.1, 0.544375
21,SSA,0.00, 11.4, 0.082137
22,SA,0.00,132.4, 0.041069
23,MSF,0.02, 69.0, 1.015896
24,MF,0.01, 67.1, 1.098033
25,RHO,0.00,317.3,13.471515
26,Q1,0.00,303.0,13.398661
27,T2,0.00,146.6,29.958933
28,R2,0.00,314.1,30.041067
29,2Q1,0.00, 56.8,12.854286
30,P1,0.00,358.2,14.958931
31,2SM2,0.00, 95.6, 31.01590
32,M3,0.00,244.1,43.476158
33,L2,0.00,259.8,29.528479
34,2MK3,0.00,344.2, 42.92714
35,K2,0.00,273.0,30.082138
36,M8,0.00, 70.7,115.93642
37,MS4,0.00,276.8,58.984104
