 Constituent#,Name,Amplitude,Phase,Speed
1,M2,2.22,  6.5,28.984104
2,S2,0.44, 32.2,30.000000
3,N2,0.58, 13.8,28.439730
4,K1,0.29,169.8,15.041069
5,M4,0.15,296.7,57.968208
6,O1,0.22,185.8,13.943035
7,M6,0.11,131.3,86.952316
8,MK3,0.02, 14.7,44.025173
9,S4,0.01, 13.8,60.000000
10,MN4,0.01, 44.1,57.423832
11,NU2,0.00,225.1,28.512583
12,S6,0.00, 44.0,90.000000
13,MU2,0.03, 70.8,27.968208
14,2N2,0.00,336.9,27.895355
15,OO1,0.00,350.5,16.139101
16,LAM,0.01,313.6,29.455626
17,S1,0.00,272.2,15.000000
18,M1,0.00, 41.8,14.496694
19,J1,0.00,309.8,15.585443
20,MM,0.00,295.2, 0.544375
21,SSA,0.00,329.3, 0.082137
22,SA,0.00,159.3, 0.041069
23,MSF,0.01, 72.9, 1.015896
24,MF,0.01,234.7, 1.098033
25,RHO,0.00, 57.8,13.471515
26,Q1,0.03,177.6,13.398661
27,T2,0.00,210.8,29.958933
28,R2,0.00,336.9,30.041067
29,2Q1,0.00,137.0,12.854286
30,P1,0.10,191.8,14.958931
31,2SM2,0.01,154.7, 31.01590
32,M3,0.00,331.9,43.476158
33,L2,0.05,294.1,29.528479
34,2MK3,0.02, 41.6, 42.92714
35,K2,0.21, 68.8,30.082138
36,M8,0.03, 67.8,115.93642
37,MS4,0.07,259.8,58.984104
