Constituent#,Name,Amplitude,Phase,Speed
1,M2,1.693,50.2,28.9841042
2,S2,0.233,78.5,30.0000000
3,N2,0.328,34.4,28.4397295
4,K1,0.190,220.2,15.0410686
5,M4,0.049,312.3,57.9682084
6,O1,0.135,226.4,13.9430356
7,M6,0.069,302.6,86.9523127
8,MK3,0.039,75.3,44.0251729
9,S4,0.007,353.5,60.0000000
10,MN4,0.026,295.6,57.4238337
11,NU2,0.072,28.8,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.036,123.9,27.9682084
14,2N2,0.033,35.1,27.8953548
15,OO1,0.007,272.5,16.1391017
16,LAM2,0.039,46.8,29.4556253
17,S1,0.030,210.3,15.0000000
18,M1,0.003,244.3,14.4966939
19,J1,0.010,224.4,15.5854433
20,MM,0.082,227.6,0.5443747
21,SSA,0.253,54.9,0.0821373
22,SA,0.377,189.9,0.0410686
23,MSF,0.128,197.6,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.003,234.9,13.4715145
26,Q1,0.030,227.9,13.3986609
27,T2,0.026,74.5,29.9589333
28,R2,0.023,295.5,30.0410667
29,2Q1,0.010,238.7,12.8542862
30,P1,0.069,213.7,14.9589314
31,2SM2,0.003,10.4,31.0158958
32,M3,0.023,177.4,43.4761563
33,L2,0.105,56.4,29.5284789
34,2MK3,0.036,72.0,42.9271398
35,K2,0.066,71.5,30.0821373
36,M8,0.007,38.6,115.9364166
37,MS4,0.013,287.3,58.9841042
