Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.477,14.5,28.9841042
2,S2,0.073,41.0,30.0000000
3,N2,0.116,350.7,28.4397295
4,K1,0.194,213.8,15.0410686
5,M4,0.009,321.3,57.9682084
6,O1,0.155,210.8,13.9430356
7,M6,0.003,225.1,86.9523127
8,MK3,0.006,331.9,44.0251729
9,S4,0.002,256.7,60.0000000
10,MN4,0.003,293.3,57.4238337
11,NU2,0.024,350.3,28.5125831
12,S6,0.001,34.3,90.0000000
13,MU2,0.012,11.4,27.9682084
14,2N2,0.018,334.9,27.8953548
15,OO1,0.010,223.0,16.1391017
16,LAM2,0.006,35.5,29.4556253
17,S1,0.019,209.6,15.0000000
18,M1,0.010,219.0,14.4966939
19,J1,0.015,218.2,15.5854433
20,MM,0.032,317.0,0.5443747
21,SSA,0.024,99.8,0.0821373
22,SA,0.160,187.7,0.0410686
23,MSF,0.012,351.2,1.0158958
24,MF,0.050,356.7,1.0980331
25,RHO,0.005,200.1,13.4715145
26,Q1,0.028,194.3,13.3986609
27,T2,0.010,17.7,29.9589333
28,R2,0.002,138.0,30.0410667
29,2Q1,0.004,173.8,12.8542862
30,P1,0.058,217.6,14.9589314
31,2SM2,0.003,39.5,31.0158958
32,M3,0.003,345.7,43.4761563
33,L2,0.015,46.7,29.5284789
34,2MK3,0.008,351.8,42.9271398
35,K2,0.020,39.5,30.0821373
36,M8,0.001,183.2,115.9364166
37,MS4,0.003,33.0,58.9841042
