Constituent#,Name,Amplitude,Phase,Speed
1,M2,1.77,359.1,28.984104
2,S2,0.33, 20.6,30.000000
3,N2,0.50,  5.8,28.439730
4,K1,0.28,166.3,15.041069
5,M4,0.06,246.7,57.968208
6,O1,0.23,195.6,13.943035
7,M6,0.08, 71.4,86.952316
8,MK3,0.00,356.7,44.025173
9,S4,0.00,291.7,60.000000
10,MN4,0.04,297.4,57.423832
11,NU2,0.00,186.5,28.512583
12,S6,0.00,356.4,90.000000
13,MU2,0.01,  7.0,27.968208
14,2N2,0.00,328.8,27.895355
15,OO1,0.00, 26.1,16.139101
16,LAM,0.00,299.6,29.455626
17,S1,0.00,160.6,15.000000
18,M1,0.00,330.7,14.496694
19,J1,0.00,291.0,15.585443
20,MM,0.01,210.5, 0.544375
21,SSA,0.00,337.1, 0.082137
22,SA,0.00,134.8, 0.041069
23,MSF,0.00, 53.8, 1.015896
24,MF,0.01,236.3, 1.098033
25,RHO,0.00,295.3,13.471515
26,Q1,0.04,162.8,13.398661
27,T2,0.00,167.6,29.958933
28,R2,0.00,328.8,30.041067
29,2Q1,0.00,342.7,12.854286
30,P1,0.10,189.7,14.958931
31,2SM2,0.00,148.9, 31.01590
32,M3,0.00, 21.5,43.476158
33,L2,0.02,266.6,29.528479
34,2MK3,0.00,119.2, 42.92714
35,K2,0.17, 61.7,30.082138
36,M8,0.01, 60.8,115.93642
37,MS4,0.03, 90.5,58.984104
