Constituent#,Name,Amplitude,Phase,Speed
1,M2,4.83,102.6,28.984104
2,S2,0.69,132.6,30.000000
3,N2,1.15, 78.1,28.439730
4,K1,0.38,186.7,15.041069
5,M4,0.10, 70.0,57.968208
6,O1,0.35,187.6,13.943035
7,M6,0.04, 28.0,86.952316
8,MK3,0.00,197.7,44.025173
9,S4,0.00,110.6,60.000000
10,MN4,0.04, 38.5,57.423832
11,NU2,0.05,114.2,28.512583
12,S6,0.00, 13.0,90.000000
13,MU2,0.18,260.5,27.968208
14,2N2,0.01,271.3,27.895355
15,OO1,0.00,280.4,16.139101
16,LAM,0.03,158.6,29.455626
17,S1,0.00,341.5,15.000000
18,M1,0.00,171.2,14.496694
19,J1,0.00,163.8,15.585443
20,MM,0.01,215.0, 0.544375
21,SSA,0.00, 62.2, 0.082137
22,SA,0.00,102.2, 0.041069
23,MSF,0.00, 30.7, 1.015896
24,MF,0.02,235.1, 1.098033
25,RHO,0.00,117.7,13.471515
26,Q1,0.04,158.9,13.398661
27,T2,0.00,106.3,29.958933
28,R2,0.01,271.3,30.041067
29,2Q1,0.00,169.2,12.854286
30,P1,0.13,194.9,14.958931
31,2SM2,0.01, 66.7, 31.01590
32,M3,0.01,175.0,43.476158
33,L2,0.25,178.8,29.528479
34,2MK3,0.01,257.9, 42.92714
35,K2,0.30,144.7,30.082138
36,M8,0.02,290.8,115.93642
37,MS4,0.04,106.1,58.984104
