Constituent#,Name,Amplitude,Phase,Speed
1,M2,11.585,107.8,28.9841042
2,S2,3.281,150.4,30.0000000
3,N2,1.982,82.0,28.4397295
4,K1,2.260,341.8,15.0410686
5,M4,0.948,84.9,57.9682084
6,O1,1.263,322.2,13.9430356
7,M6,0.499,26.8,86.9523127
8,MK3,0.259,10.9,44.0251729
9,S4,0.069,215.0,60.0000000
10,MN4,0.344,65.7,57.4238337
11,NU2,0.607,83.0,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.764,242.3,27.9682084
14,2N2,0.472,40.7,27.8953548
15,OO1,0.066,69.1,16.1391017
16,LAM2,0.312,114.9,29.4556253
17,S1,0.000,0.0,15.0000000
18,M1,0.164,57.6,14.4966939
19,J1,0.105,57.4,15.5854433
20,MM,0.203,39.7,0.5443747
21,SSA,0.236,45.6,0.0821373
22,SA,0.177,230.2,0.0410686
23,MSF,0.469,50.4,1.0158958
24,MF,0.105,116.3,1.0980331
25,RHO,0.049,313.8,13.4715145
26,Q1,0.207,331.2,13.3986609
27,T2,0.194,150.4,29.9589333
28,R2,0.026,150.3,30.0410667
29,2Q1,0.033,302.6,12.8542862
30,P1,0.531,347.2,14.9589314
31,2SM2,0.210,350.3,31.0158958
32,M3,0.000,0.0,43.4761563
33,L2,0.531,122.5,29.5284789
34,2MK3,0.387,22.4,42.9271398
35,K2,0.883,142.3,30.0821373
36,M8,0.141,358.2,115.9364166
37,MS4,0.604,133.3,58.9841042
38,SIGMA1,0.125,30.9,12.9271398
39,MP1,0.289,72.9,14.0251729
40,CHI1,0.039,299.2,14.5695476
41,2PO1,0.043,144.3,15.9748272
42,SO1,0.240,146.6,16.0569644
43,MSN2,0.210,328.6,30.5443747
44,MNS2,0.200,194.6,27.4238337
45,OP2,0.000,0.0,28.9019669
46,MKS2,0.000,0.0,29.0662415
47,2NS2,0.118,182.9,26.8794590
48,MLN2S2,0.135,202.2,26.9523126
49,2ML2S2,0.075,48.3,27.4966873
50,SKM2,0.092,342.1,31.0980331
51,2MS2K2,0.000,0.0,27.8039338
52,MKL2S2,0.000,0.0,28.5947204
53,M2KS2,0.000,0.0,29.1483788
54,2SNMK2,0.000,0.0,29.3734880
55,2KMSN2,0.000,0.0,30.7086493
56,SO3,0.164,44.1,43.9430356
57,SK3,0.141,77.4,45.0410686
58,NO3,0.131,355.3,42.3827651
59,MK4,0.154,124.8,59.0662415
60,SN4,0.072,147.0,58.4397295
61,2MLS4,0.092,214.8,57.4966873
62,3MS4,0.138,180.7,56.9523127
63,ML4,0.098,88.0,58.5125831
64,N4,0.112,18.9,56.8794590
65,SL4,0.052,119.0,59.5284789
66,MNO5,0.046,260.9,71.3668693
67,2MO5,0.121,270.8,71.9112440
68,2MK5,0.194,258.3,73.0092770
69,MSK5,0.089,327.7,74.0251728
70,3KM5,0.036,315.0,74.1073100
71,2MP5,0.115,299.2,72.9271398
72,3MP5,0.085,13.7,71.9933813
73,MNK5,0.046,253.9,72.4649023
74,2SM6,0.092,119.9,88.9841042
75,2MN6,0.266,3.4,86.4079380
76,MSN6,0.095,46.2,87.4238337
77,2MS6,0.499,68.2,87.9682084
78,2NMLS6,0.056,298.5,85.3920421
79,2NM6,0.112,327.3,85.8635632
80,MSL6,0.085,74.7,88.5125831
81,2ML6,0.102,49.0,87.4966873
82,MSK6,0.052,106.3,89.0662415
83,2MLNS6,0.085,344.5,85.9364168
84,3MLS6,0.105,170.3,86.4807916
85,2MK6,0.125,61.3,88.0503457
86,2MNO7,0.046,260.8,100.3509735
87,2NMK7,0.072,237.1,100.9046318
88,2MSO7,0.075,313.4,101.9112440
89,MSKO7,0.043,132.9,103.0092771
90,2MSN8,0.079,24.0,116.4079380
91,3MS8,0.220,40.2,116.9523127
92,2MS8,0.085,94.9,117.9682084
93,2MN8,0.052,303.7,114.8476674
94,3MN8,0.108,336.9,115.3920422
95,2MSL8,0.056,49.4,117.4966873
96,4MLS8,0.052,137.6,115.4648958
97,3ML8,0.039,28.3,116.4807916
98,3MK8,0.049,36.7,117.0344500
99,2MSK8,0.039,83.8,118.0503457
100,2M2NK9,0.033,184.2,129.8887360
101,3MNK9,0.000,0.0,130.4331108
102,4MK9,0.000,0.0,130.9774855
103,3MSK9,0.000,0.0,131.9933813
104,4MN10,0.043,280.9,144.3761464
105,M10,0.043,316.0,144.9205211
106,3MNS10,0.056,321.0,145.3920422
107,4MS10,0.105,344.8,145.9364169
108,3MSL10,0.043,354.5,146.4807916
109,3M2S10,0.066,32.4,146.9523127
110,4MSK11,0.000,0.0,160.9774855
111,4MNS12,0.039,293.6,174.3761464
112,5MS12,0.052,313.5,174.9205211
113,4MSL12,0.000,0.0,175.4648958
114,4M2S12,0.046,356.6,175.9364169
115,TK1,0.000,0.0,14.9178647
116,RP1,0.000,0.0,15.0821353
117,KP1,0.000,0.0,15.1232059
118,THETA1,0.000,0.0,15.5125897
119,KJ2,0.000,0.0,30.6265119
120,OO2,0.000,0.0,27.3416965
121,MO3,0.000,0.0,42.9271397
122,SK4,0.000,0.0,60.0821373
123,2KO1,0.000,0.0,16.1391016
124,2OK1,0.000,0.0,12.8450026
