Constituent#,Name,Amplitude,Phase,Speed
1,M2,2.15,  4.0,28.984104
2,S2,0.43, 29.1,30.000000
3,N2,0.56, 10.9,28.439730
4,K1,0.29,168.7,15.041069
5,M4,0.12,293.4,57.968208
6,O1,0.21,184.6,13.943035
7,M6,0.09,112.4,86.952316
8,MK3,0.01,  9.0,44.025173
9,S4,0.01,  9.4,60.000000
10,MN4,0.01, 61.9,57.423832
11,NU2,0.00,218.9,28.512583
12,S6,0.00, 39.4,90.000000
13,MU2,0.02, 65.6,27.968208
14,2N2,0.00,334.9,27.895355
15,OO1,0.00,352.7,16.139101
16,LAM,0.01,309.8,29.455626
17,S1,0.00,271.2,15.000000
18,M1,0.00, 42.0,14.496694
19,J1,0.00,313.5,15.585443
20,MM,0.00,289.0, 0.544375
21,SSA,0.00,335.7, 0.082137
22,SA,0.00,156.1, 0.041069
23,MSF,0.01, 65.3, 1.015896
24,MF,0.01,234.9, 1.098033
25,RHO,0.00, 55.9,13.471515
26,Q1,0.03,176.2,13.398661
27,T2,0.00,206.1,29.958933
28,R2,0.00,334.9,30.041067
29,2Q1,0.00,134.1,12.854286
30,P1,0.10,190.3,14.958931
31,2SM2,0.01,151.5, 31.01590
32,M3,0.00,329.7,43.476158
33,L2,0.04,290.6,29.528479
34,2MK3,0.01, 39.3, 42.92714
35,K2,0.20, 65.6,30.082138
36,M8,0.02, 55.6,115.93642
37,MS4,0.06,250.6,58.984104
