Constituent#,Name,Amplitude,Phase,Speed
1,M2,1.37,345.6,28.984104
2,S2,0.29,  8.3,30.000000
3,N2,0.37,351.7,28.439730
4,K1,0.23,159.9,15.041069
5,M4,0.04,  2.8,57.968208
6,O1,0.16,186.8,13.943035
7,M6,0.02,216.4,86.952316
8,MK3,0.00,339.9,44.025173
9,S4,0.00, 58.1,60.000000
10,MN4,0.03,  1.6,57.423832
11,NU2,0.00,186.8,28.512583
12,S6,0.00,140.9,90.000000
13,MU2,0.02,348.5,27.968208
14,2N2,0.00,328.9,27.895355
15,OO1,0.00, 35.0,16.139101
16,LAM,0.00,240.0,29.455626
17,S1,0.00,186.8,15.000000
18,M1,0.00,340.6,14.496694
19,J1,0.00,299.1,15.585443
20,MM,0.01,218.7, 0.544375
21,SSA,0.00,324.5, 0.082137
22,SA,0.00,153.1, 0.041069
23,MSF,0.00, 50.9, 1.015896
24,MF,0.01,237.8, 1.098033
25,RHO,0.00,338.3,13.471515
26,Q1,0.03,170.1,13.398661
27,T2,0.00,172.7,29.958933
28,R2,0.00,328.9,30.041067
29,2Q1,0.00, 47.0,12.854286
30,P1,0.08,180.4,14.958931
31,2SM2,0.00,103.3, 31.01590
32,M3,0.00,299.5,43.476158
33,L2,0.02,246.0,29.528479
34,2MK3,0.01, 12.4, 42.92714
35,K2,0.13, 42.9,30.082138
36,M8,0.00, 78.2,115.93642
37,MS4,0.01, 96.4,58.984104
