Constituent#,Name,Amplitude,Phase,Speed
1,M2,2.754,185.8,28.9841042
2,S2,0.304,225.5,30.0000000
3,N2,0.478,168.7,28.4397295
4,K1,0.334,283.7,15.0410686
5,M4,0.275,256.4,57.9682084
6,O1,0.266,263.8,13.9430356
7,M6,0.170,248.4,86.9523127
8,MK3,0.073,332.4,44.0251729
9,S4,0.000,0.0,60.0000000
10,MN4,0.107,240.0,57.4238337
11,NU2,0.153,163.2,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.146,309.1,27.9682084
14,2N2,0.050,148.6,27.8953548
15,OO1,0.011,303.5,16.1391017
16,LAM2,0.085,196.2,29.4556253
17,S1,0.080,240.3,15.0000000
18,M1,0.015,352.1,14.4966939
19,J1,0.018,311.7,15.5854433
20,MM,0.095,27.0,0.5443747
21,SSA,0.298,63.0,0.0821373
22,SA,0.493,119.2,0.0410686
23,MSF,0.088,17.7,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.010,264.2,13.4715145
26,Q1,0.041,271.9,13.3986609
27,T2,0.028,221.5,29.9589333
28,R2,0.002,227.2,30.0410667
29,2Q1,0.007,244.1,12.8542862
30,P1,0.102,279.1,14.9589314
31,2SM2,0.010,119.8,31.0158958
32,M3,0.012,262.8,43.4761563
33,L2,0.304,197.3,29.5284789
34,2MK3,0.077,295.6,42.9271398
35,K2,0.099,221.7,30.0821373
36,M8,0.054,335.6,115.9364166
37,MS4,0.073,305.2,58.9841042
