Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.65, 92.4,28.984104
2,S2,0.10,120.7,30.000000
3,N2,0.13,100.9,28.439730
4,K1,0.15,237.6,15.041069
5,M4,0.04,136.2,57.968208
6,O1,0.12,248.9,13.943035
7,M6,0.02,273.9,86.952316
8,MK3,0.01,228.5,44.025173
9,S4,0.00,195.0,60.000000
10,MN4,0.02,144.6,57.423832
11,NU2,0.01, 42.1,28.512583
12,S6,0.00,202.6,90.000000
13,MU2,0.03,230.8,27.968208
14,2N2,0.00,131.5,27.895355
15,OO1,0.00,107.0,16.139101
16,LAM,0.01,112.7,29.455626
17,S1,0.00,309.8,15.000000
18,M1,0.00,128.0,14.496694
19,J1,0.01, 22.0,15.585443
20,MM,0.07,  3.6, 0.544375
21,SSA,0.01, 19.2, 0.082137
22,SA,0.00,126.2, 0.041069
23,MSF,0.07, 32.4, 1.015896
24,MF,0.01, 76.6, 1.098033
25,RHO,0.00,128.6,13.471515
26,Q1,0.02,248.5,13.398661
27,T2,0.00,335.3,29.958933
28,R2,0.00,131.5,30.041067
29,2Q1,0.00,270.6,12.854286
30,P1,0.05,260.8,14.958931
31,2SM2,0.00,307.4, 31.01590
32,M3,0.00, 13.3,43.476158
33,L2,0.04, 87.5,29.528479
34,2MK3,0.01,143.0, 42.92714
35,K2,0.04,152.9,30.082138
36,M8,0.00,317.6,115.93642
37,MS4,0.01,171.2,58.984104
