Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.23,113.0,28.984104
2,S2,0.04,141.3,30.000000
3,N2,0.07,126.3,28.439730
4,K1,0.08,256.8,15.041069
5,M4,0.04,157.4,57.968208
6,O1,0.08,274.7,13.943035
7,M6,0.01,356.4,86.952316
8,MK3,0.01, 41.4,44.025173
9,S4,0.00,173.2,60.000000
10,MN4,0.02,151.0,57.423832
11,NU2,0.00,320.9,28.512583
12,S6,0.00,287.5,90.000000
13,MU2,0.00,313.2,27.968208
14,2N2,0.00, 86.1,27.895355
15,OO1,0.00, 75.0,16.139101
16,LAM,0.00,149.3,29.455626
17,S1,0.00,126.7,15.000000
18,M1,0.00,183.7,14.496694
19,J1,0.01,352.4,15.585443
20,MM,0.10,358.7, 0.544375
21,SSA,0.01, 40.7, 0.082137
22,SA,0.00,122.4, 0.041069
23,MSF,0.08, 28.8, 1.015896
24,MF,0.03,101.9, 1.098033
25,RHO,0.00,188.2,13.471515
26,Q1,0.01,282.9,13.398661
27,T2,0.00,233.6,29.958933
28,R2,0.00, 86.1,30.041067
29,2Q1,0.00,273.7,12.854286
30,P1,0.02,294.3,14.958931
31,2SM2,0.00, 21.0, 31.01590
32,M3,0.00,283.3,43.476158
33,L2,0.01, 93.5,29.528479
34,2MK3,0.01, 59.2, 42.92714
35,K2,0.02,174.0,30.082138
36,M8,0.01, 88.4,115.93642
37,MS4,0.01,176.2,58.984104
