Constituent#,Name,Amplitude,Phase,Speed
1,M2,6.08,102.7,28.984104
2,S2,0.87,136.4,30.000000
3,N2,1.36, 80.3,28.439730
4,K1,0.39,187.3,15.041069
5,M4,0.21, 67.0,57.968208
6,O1,0.35,186.5,13.943035
7,M6,0.05,349.6,86.952316
8,MK3,0.02,190.7,44.025173
9,S4,0.01,220.0,60.000000
10,MN4,0.09, 69.9,57.423832
11,NU2,0.06,105.1,28.512583
12,S6,0.00,241.9,90.000000
13,MU2,0.23,249.1,27.968208
14,2N2,0.01,266.4,27.895355
15,OO1,0.01,315.5,16.139101
16,LAM,0.05,133.6,29.455626
17,S1,0.00, 54.7,15.000000
18,M1,0.00,195.2,14.496694
19,J1,0.00,304.9,15.585443
20,MM,0.00,240.9, 0.544375
21,SSA,0.00,337.8, 0.082137
22,SA,0.00,154.1, 0.041069
23,MSF,0.01, 20.7, 1.015896
24,MF,0.01,246.7, 1.098033
25,RHO,0.00,118.2,13.471515
26,Q1,0.04,168.1,13.398661
27,T2,0.00,100.1,29.958933
28,R2,0.01,266.4,30.041067
29,2Q1,0.00,243.0,12.854286
30,P1,0.13,195.0,14.958931
31,2SM2,0.01, 21.6, 31.01590
32,M3,0.01,155.2,43.476158
33,L2,0.32,163.9,29.528479
34,2MK3,0.02,242.4, 42.92714
35,K2,0.37,148.8,30.082138
36,M8,0.02, 18.2,115.93642
37,MS4,0.08,124.4,58.984104
