Constituent#,Name,Amplitude,Phase,Speed
1,M2,3.278,214.3,28.9841042
2,S2,0.381,255.4,30.0000000
3,N2,0.551,203.3,28.4397295
4,K1,0.331,296.6,15.0410686
5,M4,0.440,343.0,57.9682084
6,O1,0.272,277.1,13.9430356
7,M6,0.089,352.7,86.9523127
8,MK3,0.108,19.7,44.0251729
9,S4,0.010,315.3,60.0000000
10,MN4,0.177,327.6,57.4238337
11,NU2,0.180,185.9,28.5125831
12,S6,0.003,49.4,90.0000000
13,MU2,0.203,326.0,27.9682084
14,2N2,0.036,126.1,27.8953548
15,OO1,0.007,131.0,16.1391017
16,LAM2,0.108,222.8,29.4556253
17,S1,0.066,245.4,15.0000000
18,M1,0.043,335.8,14.4966939
19,J1,0.020,301.4,15.5854433
20,MM,0.230,46.2,0.5443747
21,SSA,0.358,78.9,0.0821373
22,SA,0.413,137.8,0.0410686
23,MSF,0.161,47.5,1.0158958
24,MF,0.049,128.9,1.0980331
25,RHO,0.020,74.4,13.4715145
26,Q1,0.059,292.6,13.3986609
27,T2,0.036,193.8,29.9589333
28,R2,0.010,299.9,30.0410667
29,2Q1,0.020,95.3,12.8542862
30,P1,0.105,294.4,14.9589314
31,2SM2,0.023,181.1,31.0158958
32,M3,0.039,301.5,43.4761563
33,L2,0.390,203.9,29.5284789
34,2MK3,0.112,345.9,42.9271398
35,K2,0.128,254.4,30.0821373
36,M8,0.046,76.1,115.9364166
37,MS4,0.098,31.0,58.9841042
