 Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.50, 10.7,28.984104
2,S2,0.06, 39.5,30.000000
3,N2,0.10,  6.1,28.439730
4,K1,0.16,  9.3,15.041069
5,M4,0.03,275.0,57.968208
6,O1,0.12, 17.3,13.943035
7,M6,0.05, 76.8,86.952316
8,MK3,0.01,210.3,44.025173
9,S4,0.00,  7.5,60.000000
10,MN4,0.01,279.6,57.423832
11,NU2,0.01,358.0,28.512583
12,S6,0.00,353.3,90.000000
13,MU2,0.03,170.8,27.968208
14,2N2,0.00, 92.3,27.895355
15,OO1,0.01,273.3,16.139101
16,LAM,0.01, 46.6,29.455626
17,S1,0.00, 86.1,15.000000
18,M1,0.01,251.2,14.496694
19,J1,0.02,173.0,15.585443
20,MM,0.02,344.9, 0.544375
21,SSA,0.01, 16.8, 0.082137
22,SA,0.00,104.6, 0.041069
23,MSF,0.02, 33.1, 1.015896
24,MF,0.01,348.2, 1.098033
25,RHO,0.00,264.6,13.471515
26,Q1,0.01,326.5,13.398661
27,T2,0.00,288.4,29.958933
28,R2,0.00, 92.3,30.041067
29,2Q1,0.01, 57.0,12.854286
30,P1,0.05, 26.5,14.958931
31,2SM2,0.00,262.6, 31.01590
32,M3,0.01,103.7,43.476158
33,L2,0.04, 39.9,29.528479
34,2MK3,0.01,212.0, 42.92714
35,K2,0.03, 63.9,30.082138
36,M8,0.00,105.4,115.93642
37,MS4,0.01,324.6,58.984104
