Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.65,328.6,28.984104
2,S2,0.09,358.4,30.000000
3,N2,0.13,324.7,28.439730
4,K1,0.11,342.2,15.041069
5,M4,0.00,210.7,57.968208
6,O1,0.09,358.4,13.943035
7,M6,0.04,268.7,86.952316
8,MK3,0.01,137.8,44.025173
9,S4,0.00,232.7,60.000000
10,MN4,0.00,206.4,57.423832
11,NU2,0.01,312.9,28.512583
12,S6,0.00,178.2,90.000000
13,MU2,0.03,123.9,27.968208
14,2N2,0.00, 45.6,27.895355
15,OO1,0.01,229.0,16.139101
16,LAM,0.01,357.6,29.455626
17,S1,0.00, 35.4,15.000000
18,M1,0.00,208.6,14.496694
19,J1,0.01,133.8,15.585443
20,MM,0.02,345.9, 0.544375
21,SSA,0.01, 16.1, 0.082137
22,SA,0.00, 98.9, 0.041069
23,MSF,0.02, 27.4, 1.015896
24,MF,0.01,348.4, 1.098033
25,RHO,0.00,249.3,13.471515
26,Q1,0.01,320.3,13.398661
27,T2,0.00,252.7,29.958933
28,R2,0.00, 45.6,30.041067
29,2Q1,0.00, 40.3,12.854286
30,P1,0.04,  0.2,14.958931
31,2SM2,0.00,204.9, 31.01590
32,M3,0.01, 41.5,43.476158
33,L2,0.05,351.4,29.528479
34,2MK3,0.02,148.0, 42.92714
35,K2,0.04, 23.7,30.082138
36,M8,0.00,148.6,115.93642
37,MS4,0.00,279.9,58.984104
