Constituent#,Name,Amplitude,Phase,Speed
1,M2,1.69,351.9,28.984104
2,S2,0.29, 11.9,30.000000
3,N2,0.49,  2.4,28.439730
4,K1,0.29,172.8,15.041069
5,M4,0.02,280.7,57.968208
6,O1,0.24,196.9,13.943035
7,M6,0.03,  2.3,86.952316
8,MK3,0.01,276.6,44.025173
9,S4,0.00,295.2,60.000000
10,MN4,0.03, 31.2,57.423832
11,NU2,0.00,198.3,28.512583
12,S6,0.00,153.2,90.000000
13,MU2,0.01, 22.9,27.968208
14,2N2,0.00,325.9,27.895355
15,OO1,0.00,341.4,16.139101
16,LAM,0.00,281.0,29.455626
17,S1,0.00, 59.8,15.000000
18,M1,0.00,353.9,14.496694
19,J1,0.00,246.1,15.585443
20,MM,0.01,212.8, 0.544375
21,SSA,0.00,358.0, 0.082137
22,SA,0.00,158.5, 0.041069
23,MSF,0.00, 97.4, 1.015896
24,MF,0.01,229.6, 1.098033
25,RHO,0.00, 87.4,13.471515
26,Q1,0.03,166.5,13.398661
27,T2,0.00,180.2,29.958933
28,R2,0.00,325.9,30.041067
29,2Q1,0.00,151.5,12.854286
30,P1,0.10,195.1,14.958931
31,2SM2,0.00,127.8, 31.01590
32,M3,0.00,345.5,43.476158
33,L2,0.02,261.1,29.528479
34,2MK3,0.00,287.5, 42.92714
35,K2,0.18, 58.6,30.082138
36,M8,0.00, 39.8,115.93642
37,MS4,0.05,158.2,58.984104
