Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.57,170.7,28.984104
2,S2,0.09,197.3,30.000000
3,N2,0.13,172.4,28.439730
4,K1,0.08,270.5,15.041069
5,M4,0.01,198.1,57.968208
6,O1,0.07,296.3,13.943035
7,M6,0.03,246.9,86.952316
8,MK3,0.01,258.7,44.025173
9,S4,0.00,260.3,60.000000
10,MN4,0.01,240.4,57.423832
11,NU2,0.00,152.9,28.512583
12,S6,0.00,157.9,90.000000
13,MU2,0.02,330.1,27.968208
14,2N2,0.00,228.8,27.895355
15,OO1,0.00,160.8,16.139101
16,LAM,0.01,198.6,29.455626
17,S1,0.00, 11.3,15.000000
18,M1,0.00,155.3,14.496694
19,J1,0.00, 67.6,15.585443
20,MM,0.02,341.5, 0.544375
21,SSA,0.01, 14.4, 0.082137
22,SA,0.00,105.4, 0.041069
23,MSF,0.02, 25.7, 1.015896
24,MF,0.01,339.5, 1.098033
25,RHO,0.00,304.9,13.471515
26,Q1,0.01,254.9,13.398661
27,T2,0.00, 73.0,29.958933
28,R2,0.00,228.8,30.041067
29,2Q1,0.00, 19.3,12.854286
30,P1,0.03,291.2,14.958931
31,2SM2,0.00, 38.8, 31.01590
32,M3,0.01,181.1,43.476158
33,L2,0.03,186.0,29.528479
34,2MK3,0.01,283.7, 42.92714
35,K2,0.04,230.0,30.082138
36,M8,0.00,278.9,115.93642
37,MS4,0.00,353.4,58.984104
