Sand-Point-AK,9459450,SNDA2,55.34,-160.5,40.03,37.75,34.39,30.52,1,1,P,0,9,0,C
Kivalina-AK,9491253,ZZZZZ,67.73,-164.59,5.08,4.82,4.36,3.92,0,1,P,0,9,0,B
Shishmaref-Inlet-2-AK,9469854,ZZZZZ,66.26,-166.02,4.88,4.6,4.08,3.57,0,1,P,0,9,0,B
Shaktoolik-AK,9468691,ZZZZZ,64.38,-161.24,26.64,25.83,23.77,22.1,0,1,P,0,9,0,B
Unalakleet-AK,9468333,ULRA2,63.88,-160.79,5.75,4.75,3.03,1.56,1,1,P,0,9,0,B
Craig-AK,9450551,ZZZZZ,55.49,-133.14,17.86,15.44,10.61,5.27,0,1,P,0,9,0,C
Kaktovik-AK,9499176,ZZZZZ,70.13,-143.61,2.84,2.68,2.35,2.07,0,1,P,0,9,0,B
Point-Hope-AK,9491873,ZZZZZ,68.34,-166.81,3.06,2.91,2.57,2.24,0,1,P,0,9,0,B
Cape-Krusenstern-AK,9490571,ZZZZZ,67.05,-163.32,40.83,40.69,40.27,40.04,0,1,P,0,9,0,B
Cape-Espenberg-AK,9490096,ZZZZZ,66.58,-164.25,1.22,0.99,0.53,0,0,1,P,0,9,0,B
Goodhope-Bay-AK,9469833,ZZZZZ,66.23,-163.9,2.19,1.69,0.88,0,0,1,P,0,9,0,B
Deering-AK,9469751,ZZZZZ,66.1,-162.74,2.22,1.82,0.95,0,0,1,P,0,9,0,B
Wales-AK,9469515,ZZZZZ,65.73,-168.03,1.18,0.97,0.48,0,0,1,P,0,9,0,B
Tin-City-AK,9469439,ZZZZZ,65.56,-167.97,1.18,1.02,0.47,0,0,1,P,0,9,0,B
Lost-River-AK,9469338,ZZZZZ,65.39,-167.15,1.33,1.09,0.52,0,0,1,P,0,9,0,B
Point-Spencer-Point-Clarence-AK,9469237,ZZZZZ,65.26,-166.85,1.56,1.28,0.73,0,0,1,P,0,9,0,B
Savoonga-AK,9468258,ZZZZZ,63.68,-170.54,3.12,2.56,1.28,0,0,1,P,0,9,0,B
Northeast-Cape-St.-Lawrence-Island-AK,9468039,ZZZZZ,63.32,-168.97,2.99,2.46,1.25,0,0,1,P,0,9,0,B
Nunam-Iqua-AK,9467551,ZZZZZ,62.53,-164.85,3.22,2.64,1.05,0,0,1,P,0,9,0,B
Hooper-Bay-AK,9466931,ZZZZZ,61.53,-166.15,5.59,4.45,2.05,0,0,1,P,0,9,0,B
Tooksook-Bay-Nelson-Island-AK,9466298,ZZZZZ,60.52,-165.13,11.46,9.71,5.17,0,0,1,P,0,9,0,B
Mekoryuk-AK,9466217,ZZZZZ,60.42,-166.17,9.29,7.63,3.87,0,0,1,P,0,9,0,B
